"filename", "language", "YAML", "Groovy", "Markdown", "Dart", "Properties", "JSON", "XML", "C++", "Swift", "HTML", "comment", "blank", "total"
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/main.dart", "Dart", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 2, 14, 107
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/api_integration_imgur.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 11, 31
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/course_read.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 7, 61
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/data_feed.dart", "Dart", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 1, 6, 44
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/faculty_profile.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 2, 21
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/freecourses_models.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 2, 13
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/image_upload.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 5, 25
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/imgurejson.dart", "Dart", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 3, 13, 163
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/mock_data.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 31, 11, 105
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/places.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 8, 40
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/models/user_model.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 3, 5, 51
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/read_data.dart", "Dart", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 9, 23
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/Nearby/nearby_add.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/Nearby/nearby_favourite.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 5, 44
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/Nearby/nearby_first.dart", "Dart", 0, 0, 0, 513, 0, 0, 0, 0, 0, 0, 5, 18, 536
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/Nearby/nearby_logic.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/Nearby/nearby_tab.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 2, 8, 62
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/Nearby/place.dart", "Dart", 0, 0, 0, 436, 0, 0, 0, 0, 0, 0, 2, 14, 452
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/club/club_detail_screen.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 4, 6, 54
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/club/club_models.dart", "Dart", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 1, 6, 152
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/club/club_utils.dart", "Dart", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/club/club_widgets.dart", "Dart", 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 12, 18, 305
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/club/clubs_screen.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 2, 5, 58
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/create_event.dart", "Dart", 0, 0, 0, 602, 0, 0, 0, 0, 0, 0, 15, 45, 662
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/even_main_screen.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 2, 11, 76
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/even_tabs.dart", "Dart", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 2, 7, 77
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/event_screen.dart", "Dart", 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 11, 12, 319
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/event_widgets.dart", "Dart", 0, 0, 0, 179, 0, 0, 0, 0, 0, 0, 8, 7, 194
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/events_example.dart", "Dart", 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 16, 25, 227
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/get_event.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/mock_event.dart", "Dart", 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 1, 7, 129
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/event/utils.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 7, 14, 54
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/faculty/faculty_model.dart", "Dart", 0, 0, 0, 6529, 0, 0, 0, 0, 0, 0, 1, 7, 6537
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/faculty/faculty_page.dart", "Dart", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 3, 8, 126
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/faculty/faculty_screen.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 1, 10, 86
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/faculty/faculty_widgets.dart", "Dart", 0, 0, 0, 316, 0, 0, 0, 0, 0, 0, 16, 17, 349
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/faculty/school_screen.dart", "Dart", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 6, 12, 121
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/freecourse/catagory_model.dart", "Dart", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 1, 5, 133
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/freecourse/course_list.dart", "Dart", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 1, 11, 57
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/freecourse/course_screen.dart", "Dart", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 6, 9, 90
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/screens/freecourse/freecourse_enroll.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 2, 8, 42
